X,Y,OBJECTID,Concelho,ConfirmadosAcumulado,Recuperados,Obitos,Data,Dicofre
-8.27492147199996,41.2853556760001,9129,LOUSADA,27,0,0,2020/03/25 12:00:00,1305
-8.42080560799997,41.544601035,9130,BRAGA,25,0,0,2020/03/25 12:00:00,0303
-9.22940074499996,38.759739531,9131,AMADORA,24,0,0,2020/03/25 12:00:00,1115
-9.19907097799995,38.7978557340001,9132,ODIVELAS,18,0,0,2020/03/25 12:00:00,1116
-8.46819361699994,40.842381082,9133,OLIVEIRA DE AZEMÉIS,18,0,0,2020/03/25 12:00:00,0113
-8.20132092499995,41.35056122,9134,FELGUEIRAS,17,0,0,2020/03/25 12:00:00,1303
-8.31577560899996,41.460777663,9135,GUIMARÃES,17,0,0,2020/03/25 12:00:00,0308
-9.27618968599995,38.7169092550001,9136,OEIRAS,17,0,0,2020/03/25 12:00:00,1110
-8.50350018299997,41.4086407670001,9137,VILA NOVA DE FAMALICÃO,14,0,0,2020/03/25 12:00:00,0312
-7.90554440599993,40.6881545730001,9138,VISEU,11,0,0,2020/03/25 12:00:00,1823
-16.9162432649999,32.674819959,9139,FUNCHAL,10,0,0,2020/03/25 12:00:00,3103
-8.38011918399997,41.288522384,9140,PAÇOS DE FERREIRA,10,0,0,2020/03/25 12:00:00,1309
-8.6261922799999,40.9948388070001,9141,ESPINHO,9,0,0,2020/03/25 12:00:00,0107
-7.91831926199995,37.0556576060001,9142,FARO,9,0,0,2020/03/25 12:00:00,0805
-8.72895002399997,39.3370532070001,9143,SANTARÉM,9,0,0,2020/03/25 12:00:00,1416
-8.88785857699997,38.5162025820001,9144,SETÚBAL,9,0,0,2020/03/25 12:00:00,1512
-7.73870894099997,41.311627597,9145,VILA REAL,9,0,0,2020/03/25 12:00:00,1714
-8.23261884499993,37.1337850570001,9146,ALBUFEIRA,8,0,0,2020/03/25 12:00:00,0801
-9.30864143599996,38.96122088,9147,MAFRA,8,0,0,2020/03/25 12:00:00,1109
-8.39573265499996,41.1818975210001,9148,PAREDES,8,0,0,2020/03/25 12:00:00,1310
-8.44426729899993,41.3207422450001,9149,SANTO TIRSO,8,0,0,2020/03/25 12:00:00,1314
-8.68331163499994,41.3377724960001,9150,VILA DO CONDE,8,0,0,2020/03/25 12:00:00,1316
-8.29353547599993,41.150805522,9151,PENAFIEL,7,0,0,2020/03/25 12:00:00,1311
-8.58336393499997,37.191398737,9152,PORTIMÃO,7,0,0,2020/03/25 12:00:00,0811
-8.75949017599993,41.717139123,9153,VIANA DO CASTELO,7,0,0,2020/03/25 12:00:00,1609
-8.62817370799996,40.6416935880001,9154,AVEIRO,6,0,0,2020/03/25 12:00:00,0105
-9.04506042799994,38.6286068260001,9155,BARREIRO,6,0,0,2020/03/25 12:00:00,1504
-8.98450526699997,38.922122685,9156,VILA FRANCA DE XIRA,6,0,0,2020/03/25 12:00:00,1114
-8.49532314299995,40.7002437370001,9157,ALBERGARIA-A-VELHA,5,0,0,2020/03/25 12:00:00,0102
-7.87014704799998,38.533389787,9158,ÉVORA,5,0,0,2020/03/25 12:00:00,0705
-9.00139556199997,38.6529181650001,9159,MOITA,5,0,0,2020/03/25 12:00:00,1506
-6.73521475899997,41.7712239430001,9160,BRAGANÇA,4,0,0,2020/03/25 12:00:00,0402
-8.78957986099994,39.145729132,9161,CARTAXO,4,0,0,2020/03/25 12:00:00,1406
-8.44752562799994,38.9403653580001,9162,CORUCHE,4,0,0,2020/03/25 12:00:00,1409
-8.15808774399994,41.155840271,9163,MARCO DE CANAVESES,4,0,0,2020/03/25 12:00:00,1307
-8.95935435299998,38.6957765380001,9164,MONTIJO,4,0,0,2020/03/25 12:00:00,1507
-9.11995197699997,38.49498078,9165,SESIMBRA,4,0,0,2020/03/25 12:00:00,1511
-8.33595427699993,40.833481572,9166,VALE DE CAMBRA,4,0,0,2020/03/25 12:00:00,0119
-8.39540551699997,40.5858772550001,9167,ÁGUEDA,3,0,0,2020/03/25 12:00:00,0101
-8.91614976199997,38.7352302,9168,ALCOCHETE,3,0,0,2020/03/25 12:00:00,1502
-8.57971310399995,39.1589294070001,9169,ALMEIRIM,3,0,0,2020/03/25 12:00:00,1403
-8.36429993799993,41.9029178700001,9170,ARCOS DE VALDEVEZ,3,0,0,2020/03/25 12:00:00,1601
-8.6236398,41.5368588480001,9171,BARCELOS,3,0,0,2020/03/25 12:00:00,0302
-16.976537107,32.702567147,9172,CÂMARA DE LOBOS,3,0,0,2020/03/25 12:00:00,3102
-7.43699353599993,41.750213698,9173,CHAVES,3,0,0,2020/03/25 12:00:00,1703
-8.4997546499999,40.0987905850001,9174,CONDEIXA-A-NOVA,3,0,0,2020/03/25 12:00:00,0604
-7.24488383099998,40.519773038,9175,GUARDA,3,0,0,2020/03/25 12:00:00,0907
-8.45358181499995,37.125775649,9176,LAGOA (FARO),3,0,0,2020/03/25 12:00:00,0806
-7.18763684099997,41.50872034,9177,MIRANDELA,3,0,0,2020/03/25 12:00:00,0407
-8.57435847799997,39.69267842,9178,OURÉM,3,0,0,2020/03/25 12:00:00,1421
-8.67772409499997,39.9266197090001,9179,POMBAL,3,0,0,2020/03/25 12:00:00,1015
-8.34590362799997,37.2704221390001,9180,SILVES,3,0,0,2020/03/25 12:00:00,0813
-8.62013186199994,40.0668475,9181,SOURE,3,0,0,2020/03/25 12:00:00,0615
-9.15647596,38.737942796,9182,LISBOA,284,0,0,2020/03/26 12:00:00,1106
-8.62165234199995,41.161641108,9183,PORTO,259,0,0,2020/03/26 12:00:00,1312
-8.58046458899997,41.0746034160001,9184,VILA NOVA DE GAIA,163,0,0,2020/03/26 12:00:00,1317
-8.60156280499996,41.2447796100001,9185,MAIA,157,0,0,2020/03/26 12:00:00,1306
-8.61985292,40.8765625930001,9186,OVAR,119,0,0,2020/03/26 12:00:00,0115
-8.48307961599994,41.109544919,9187,GONDOMAR,114,0,0,2020/03/26 12:00:00,1304
-8.49428629699997,41.2064478550001,9188,VALONGO,100,0,0,2020/03/26 12:00:00,1315
-8.42080560799997,41.544601035,9189,BRAGA,98,0,0,2020/03/26 12:00:00,0303
-8.44628443799996,40.2161326660001,9190,COIMBRA,87,0,0,2020/03/26 12:00:00,0603
-8.67174399199996,41.213012115,9191,MATOSINHOS,81,0,0,2020/03/26 12:00:00,1308
-8.62817370799996,40.6416935880001,9192,AVEIRO,46,0,0,2020/03/26 12:00:00,0105
-8.5108260499999,40.967152583,9193,SANTA MARIA DA FEIRA,45,0,0,2020/03/26 12:00:00,0109
-9.40095515,38.725011174,9194,CASCAIS,44,0,0,2020/03/26 12:00:00,1105
-8.50350018299997,41.4086407670001,9195,VILA NOVA DE FAMALICÃO,44,0,0,2020/03/26 12:00:00,0312
-8.31577560899996,41.460777663,9196,GUIMARÃES,41,0,0,2020/03/26 12:00:00,0308
-9.19307693899998,38.6351475800001,9197,ALMADA,35,0,0,2020/03/26 12:00:00,1503
-8.27492147199996,41.2853556760001,9198,LOUSADA,33,0,0,2020/03/26 12:00:00,1305
-9.22940074499996,38.759739531,9199,AMADORA,31,0,0,2020/03/26 12:00:00,1115
-9.10889166699997,38.6048511120001,9200,SEIXAL,29,0,0,2020/03/26 12:00:00,1510
-9.15138004099998,38.8611177380001,9201,LOURES,28,0,0,2020/03/26 12:00:00,1107
-8.46819361699994,40.842381082,9202,OLIVEIRA DE AZEMÉIS,26,0,0,2020/03/26 12:00:00,0113
-7.91831926199995,37.0556576060001,9203,FARO,25,0,0,2020/03/26 12:00:00,0805
-8.20132092499995,41.35056122,9204,FELGUEIRAS,24,0,0,2020/03/26 12:00:00,1303
-8.49532314299995,40.7002437370001,9205,ALBERGARIA-A-VELHA,21,0,0,2020/03/26 12:00:00,0102
-7.90554440599993,40.6881545730001,9206,VISEU,20,0,0,2020/03/26 12:00:00,1823
-6.73521475899997,41.7712239430001,9207,BRAGANÇA,19,0,0,2020/03/26 12:00:00,0402
-8.38011918399997,41.288522384,9208,PAÇOS DE FERREIRA,19,0,0,2020/03/26 12:00:00,1309
-8.75949017599993,41.717139123,9209,VIANA DO CASTELO,19,0,0,2020/03/26 12:00:00,1609
